from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,profile_image_url,embed_img
JosephLabrecque,"""Lies"" http://t.co/O1wccbquj4 #unAEL13",Sun Jul 28 21:30:55 +0000 2013,28/7/2013 22:30,,en,,17928329,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
mrstaradavis,"""@coachk: #unAEL13 Presentation tip: no more than 3 concepts, 3 ideas, or 3 facts. You lose the audience after that."" @mtb238 re: teaching",Sun Jul 28 21:26:39 +0000 2013,28/7/2013 22:26,,en,,488152963,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
mrstaradavis,"RT @coachk: #unAEL13 Presentation tip: no more than 3 concepts, 3 ideas, or 3 facts. You lose the audience after that.",Sun Jul 28 21:26:07 +0000 2013,28/7/2013 22:26,,en,,488152963,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
prof2go,"#AEL13 #unAEL13 link to Augmented Reality resources
https://t.co/a8Lv7t1c7H",Sun Jul 28 21:13:41 +0000 2013,28/7/2013 22:13,,en,,976670742,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
NDudley1,RT @openclssrm: Crazy talk app helps make your lectures more engaging for youth #unael13,Sun Jul 28 21:12:10 +0000 2013,28/7/2013 22:12,,en,,23383876,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
burcuaybat,We run a small discussion on 1:1 tablet program in schools with @neotech03  Thanks for attending. #unAEL13,Sun Jul 28 21:11:33 +0000 2013,28/7/2013 22:11,"loc: 37.33025757,-121.89440842",en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
JosephLabrecque,And the #unAEL13 session finished off as a discussion on the Creative Cloud model. All over the map!,Sun Jul 28 21:08:38 +0000 2013,28/7/2013 22:08,,en,,17928329,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
Brainfrieze,Getting some great ideas from the animation workshop at #unael13 thanks Peter French!,Sun Jul 28 21:05:43 +0000 2013,28/7/2013 22:05,,en,,14273974,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
JasonCarthew,The Splinternet....and apt renaming of the Internet. Thanks Mark DuBois #unael13,Sun Jul 28 21:05:38 +0000 2013,28/7/2013 22:05,,en,,234102426,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
Lilybiri,"Astonished and happy that so many AEL's want to know more about #AdobeCaptivate :) #unAEL13 Find me, will be glad to help!",Sun Jul 28 21:02:32 +0000 2013,28/7/2013 22:02,,en,,75757747,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
mssackstein,"RT @coachk: #unAEL13 Presentation tip: no more than 3 concepts, 3 ideas, or 3 facts. You lose the audience after that.",Sun Jul 28 20:58:23 +0000 2013,28/7/2013 21:58,,en,,29769484,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
smr10,http://t.co/68MpaBZ5xV. Check out both student and teacher versions. #unael13  #ael13,Sun Jul 28 20:57:29 +0000 2013,28/7/2013 21:57,,en,,16090997,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
matt_clasener,RT @openclssrm: Crazy talk app helps make your lectures more engaging for youth #unael13,Sun Jul 28 20:51:36 +0000 2013,28/7/2013 21:51,,en,,46607552,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,https://pbs.twimg.com/media/Bl-D9rqCIAArqs4.jpg
