id,tweet_text,date_created,twitter_name,real_name,profile_pic,embedded_pic
987,"“@Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer”",Wed May 07 10:31:27 +0000 2014,Julltelan,BrendsTelan™⚓,https://pbs.twimg.com/profile_images/463314546573078528/5n9ATO5z_normal.jpeg,
986,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:26 +0000 2014,ShazLord,robin ramos,https://pbs.twimg.com/profile_images/463194249454817280/fln_JA_B_normal.jpeg,
985,Utos dito Utos doon Utos Utos Utos #DefineSummer,Wed May 07 10:31:26 +0000 2014,bejamada_,M.Jerwin  シ,https://pbs.twimg.com/profile_images/463494560572665856/c7CVhlry_normal.jpeg,
984,#DefineSummer ang inet -__-,Wed May 07 10:31:25 +0000 2014,FillItWithRED,MJ Legaspi,https://pbs.twimg.com/profile_images/460737668360335360/Zeb_oTYH_normal.jpeg,
983,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:25 +0000 2014,jmcortez97,john michael cortez,https://pbs.twimg.com/profile_images/463215448658436096/dKIF0Aan_normal.jpeg,
982,#DefineSummer high Electric Bill! &lt;3 Ouch!,Wed May 07 10:31:24 +0000 2014,MikeSmiliie,Mike Anthon Flores,https://pbs.twimg.com/profile_images/463645633744605184/qiv7n3ei_normal.jpeg,
981,#DefineSummer Batak sa gabi xD,Wed May 07 10:31:24 +0000 2014,FlobSuperHot,Flobyyy,https://pbs.twimg.com/profile_images/461571467524599808/ootBGX5F_normal.jpeg,
980,"#DefineSummer Its all about My love from the star #SteffiInDanger  sarreh, sarreh",Wed May 07 10:31:23 +0000 2014,RichardHwanF4F,Richard Hwan,https://pbs.twimg.com/profile_images/457826818943250432/5NKM22Uw_normal.jpeg,
979,#DefineSummer Swimming lagii :),Wed May 07 10:31:23 +0000 2014,SuperKiiiim,Kimberly Dalida ♥,https://pbs.twimg.com/profile_images/460693716466794496/dDx_IJkz_normal.jpeg,
978,#DefineSummer Yung araw-araw puyat ka.,Wed May 07 10:31:22 +0000 2014,tinyTIN144,Maricelcel:))),https://pbs.twimg.com/profile_images/460027117770534912/esVCs_pR_normal.jpeg,
977,#DefineSummer eto ung Time na masarap magswimming :),Wed May 07 10:31:19 +0000 2014,shanelauricio,shane lauricio,https://pbs.twimg.com/profile_images/421974977705828352/wi4lWSRG_normal.jpeg,
976,"RT @KalandianMo101: Wake up
Twitter
Kain
Ligo
Twitter
Twitter
Twitter
Kain
Twitter
Twitter
Twitter
Kain
Twitter
Twitter
Twitter
Tulog
#Defi…",Wed May 07 10:31:19 +0000 2014,dawnaubreyyyy,FATHER DEAR ♥ ∞,https://pbs.twimg.com/profile_images/463577975917518848/xUrC-PlO_normal.jpeg,
975,RT @VMiguelG: #DefineSummer true story http://t.co/8BVJLjo2cU,Wed May 07 10:31:18 +0000 2014,LB858,Black Butterfly,https://pbs.twimg.com/profile_images/463923279728619520/CUpRyB7J_normal.jpeg,http://pbs.twimg.com/media/BnBXoXgCAAABE-Z.jpg
974,#DefineSummer hmm Malaysia sentiasa panas. datang la Malaysia,Wed May 07 10:31:17 +0000 2014,amepf,أمير فكريّ,https://pbs.twimg.com/profile_images/463860680546734080/dx5qC0IZ_normal.jpeg,
973,#DefineSummer Kahit nakasteady ka pagpapawisan ka talaga,Wed May 07 10:31:17 +0000 2014,AileenNar_18,Aileen Nar Bayani ,https://pbs.twimg.com/profile_images/463858145576484864/ZgybYFgw_normal.jpeg,
972,#DefineSummer Time to Shine. xD,Wed May 07 10:31:15 +0000 2014,theashiannagold,åѕħιåииå❤,https://pbs.twimg.com/profile_images/462556144653721600/-PdvHP7P_normal.jpeg,
971,#DefineSummer sobrang malamig :3,Wed May 07 10:31:14 +0000 2014,pepperonieeee,Andrew Suckerfield,https://pbs.twimg.com/profile_images/463557219179458560/bFB6sXLT_normal.jpeg,
970,#DefineSummer its &lt;/3,Wed May 07 10:31:14 +0000 2014,ArCollantes,Ar Ar Collantes,https://pbs.twimg.com/profile_images/463984742132486144/hJNOdFps_normal.jpeg,
969,#DefineSummer headaches ☀😨,Wed May 07 10:31:13 +0000 2014,jooyyeeee,joy,https://pbs.twimg.com/profile_images/463629247072845824/vNJH-_Jw_normal.jpeg,
968,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:13 +0000 2014,BabyELIIII,Kaaaaath *,https://pbs.twimg.com/profile_images/432960207971315712/TAcrzaGs_normal.jpeg,
967,#DefineSummer NGANGA,Wed May 07 10:31:13 +0000 2014,GoodGirlGnBad_,erika,https://pbs.twimg.com/profile_images/445456926818578432/PPQV4rzr_normal.jpeg,
966,"RT @ronasdfghjkl: #DefineSummer
Expectation: Swimming, Gala, Shopping.
Reality: Twitter, Higa, Kain.",Wed May 07 10:31:12 +0000 2014,itsmeryanreyes,Ryan☆♚,https://pbs.twimg.com/profile_images/447997867051855872/iOP5kT8N_normal.jpeg,
965,#DefineSummer B O R I N G 😑😑😑,Wed May 07 10:31:12 +0000 2014,JeyLouise123,` JL ヅ ♥,https://pbs.twimg.com/profile_images/460045298581008385/elIq2-3q_normal.jpeg,
964,RT @Pinoy_Humor: #DefineSummer ♥☺ http://t.co/EnIgTIWPi0,Wed May 07 10:31:11 +0000 2014,paaanngs,Beeraams✖️,https://pbs.twimg.com/profile_images/463632374102630400/NwWEAzPe_normal.jpeg,http://pbs.twimg.com/media/BnBpL0iCIAAA7aY.jpg
963,"#DefineSummer .. 5SOS ! 
xd♥",Wed May 07 10:31:10 +0000 2014,Jennii5SOS,me ツ,https://pbs.twimg.com/profile_images/458916830942208001/eKbjgOxf_normal.png,
962,RT @paulafrancezzca: #DefineSummer bitch... I mean beach,Wed May 07 10:31:10 +0000 2014,mchelledapidran,mich,https://pbs.twimg.com/profile_images/463328142711459840/5wmvqsrp_normal.jpeg,
961,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:08 +0000 2014,Jenny_Wynne,Jenny Wynne Daniel ∞,https://pbs.twimg.com/profile_images/449197715725889537/qaUMqlmB_normal.jpeg,
960,#defineSummer feeling natin masaya pero the truth is boriong,Wed May 07 10:31:08 +0000 2014,Bev_Cezzy,Minatoot,https://pbs.twimg.com/profile_images/437202071545081856/rCbbPau4_normal.jpeg,
959,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:06 +0000 2014,MiiitchyChubs,Michelle Joy ♥♥ ,https://pbs.twimg.com/profile_images/463276829277560833/0PzVmOU5_normal.jpeg,
958,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:03 +0000 2014,Russelicious777,Russel Panaguiton ♥,https://pbs.twimg.com/profile_images/458467815939260416/tTKiffIt_normal.jpeg,
957,#DefineSummer Araw araw puyat,Wed May 07 10:31:03 +0000 2014,Itsmefrancisian,I A N  ▲,https://pbs.twimg.com/profile_images/462200819400458241/JMHWUgUE_normal.jpeg,
956,Kapag pasukan : Sana bakasyon na.  Kapag bakasyon : Sana pasukan na. #DefineSummer,Wed May 07 10:31:03 +0000 2014,gelo_3121,Angelo Cabrera,https://pbs.twimg.com/profile_images/454865556860964864/TQ2G3khB_normal.jpeg,
955,RT @soberrrain: When sleep is the only option left #DefineSummer,Wed May 07 10:31:02 +0000 2014,Ms_AB5,αɳɠεℓ Dℓ. ♛,https://pbs.twimg.com/profile_images/463573181022740480/TuBUgvk9_normal.jpeg,
954,"RT @ronasdfghjkl: #DefineSummer 3 TAGs
TAG-DORO, TAG-GUTOM, TAG-PUYAT.",Wed May 07 10:31:02 +0000 2014,AngHarshMen,Boom Sakit!,https://pbs.twimg.com/profile_images/462932851831209984/TUueeF22_normal.jpeg,
953,"RT @Pinoy_Humor: Kapag pasukan : Sana bakasyon na. 
Kapag bakasyon : Sana pasukan na. #DefineSummer",Wed May 07 10:31:01 +0000 2014,maevettheann,MClemente←,https://pbs.twimg.com/profile_images/459644571144552448/pFLTFkCE_normal.jpeg,
952,#DefineSummer can u be my real follower?,Wed May 07 10:31:00 +0000 2014,wenchard,wenchard calimbo,https://pbs.twimg.com/profile_images/439373423022596096/Q-wL-E-1_normal.jpeg,
