"id","tweet_text","date_created","twitter_name","real_name","profile_pic","embedded_pic"
"1","#setlife cartelstudiola #lifetimechannel #instamint http://t.co/1dCHn6awbI","Mon Sep 15 18:53:53 +0000 2014","PeppermintLA","Rod Roberts","https://pbs.twimg.com/profile_images/378800000647437704/94e5023f32a5c8d1bc6567a2bebbb7be_normal.jpeg",""
"2","#bts sofyaskya #actress #model #lifetimechannel #movie #tv #production cartelstudiola @peppermintla… http://t.co/BKfw7WLVsA","Tue Sep 09 21:28:28 +0000 2014","PeppermintLA","Rod Roberts","https://pbs.twimg.com/profile_images/378800000647437704/94e5023f32a5c8d1bc6567a2bebbb7be_normal.jpeg",""
"3","#setlife cartelstudiola #lifetimechannel #instamint http://t.co/1dCHn6awbI","Mon Sep 15 18:53:53 +0000 2014","PeppermintLA","Rod Roberts","https://pbs.twimg.com/profile_images/378800000647437704/94e5023f32a5c8d1bc6567a2bebbb7be_normal.jpeg",""
"4","#bts sofyaskya #actress #model #lifetimechannel #movie #tv #production cartelstudiola @peppermintla… http://t.co/BKfw7WLVsA","Tue Sep 09 21:28:28 +0000 2014","PeppermintLA","Rod Roberts","https://pbs.twimg.com/profile_images/378800000647437704/94e5023f32a5c8d1bc6567a2bebbb7be_normal.jpeg",""
"5","#TuesdayLifetimeMovie screening of #FlowersintheAttic. #LifetimeChannel http://t.co/TEfpHLk0oq","Tue Sep 16 09:25:05 +0000 2014","_riacaj","Ria Cajanding","https://pbs.twimg.com/profile_images/497625371852820481/IWgXI7t4_normal.jpeg","http://pbs.twimg.com/media/BxpOpG1CMAAIVGb.jpg"
"6","Mom's Time Out is a genius social experiment show that explores modern gender roles. I'm hooked! #LifetimeChannel http://t.co/QPTo9CyAse","Tue Sep 16 09:21:04 +0000 2014","_riacaj","Ria Cajanding","https://pbs.twimg.com/profile_images/497625371852820481/IWgXI7t4_normal.jpeg","http://pbs.twimg.com/media/BxpNuJqCMAAvhqs.jpg"
"7","Heather Graham rocks '70s fashion as Corrine Dollanganger in Lifetime's anticipated movie Flowers in The Attic. Posh! #LifetimeChannel","Tue Sep 16 09:18:58 +0000 2014","_riacaj","Ria Cajanding","https://pbs.twimg.com/profile_images/497625371852820481/IWgXI7t4_normal.jpeg",""
"8","Dance Moms :) #LifetimeChannel","Tue Sep 16 09:12:12 +0000 2014","aar0nized","Aaron Corpuz","https://pbs.twimg.com/profile_images/411877940394065920/UWFsPFBU_normal.jpeg",""
"9","#setlife cartelstudiola #lifetimechannel #instamint http://t.co/1dCHn6awbI","Mon Sep 15 18:53:53 +0000 2014","PeppermintLA","Rod Roberts","https://pbs.twimg.com/profile_images/378800000647437704/94e5023f32a5c8d1bc6567a2bebbb7be_normal.jpeg",""
"10","#bts sofyaskya #actress #model #lifetimechannel #movie #tv #production cartelstudiola @peppermintla… http://t.co/BKfw7WLVsA","Tue Sep 09 21:28:28 +0000 2014","PeppermintLA","Rod Roberts","https://pbs.twimg.com/profile_images/378800000647437704/94e5023f32a5c8d1bc6567a2bebbb7be_normal.jpeg",""
