"id","tweet_text","date_created","twitter_name","real_name","profile_pic","embedded_pic"
"671","good morning san marino","Wed May 28 05:11:51 +0000 2014","aze_kaymak","Mozartın Vokali","https://pbs.twimg.com/profile_images/464151252990173184/Bgpot2uq_normal.jpeg",""
"670","vamos ouvir um san marino e ficar na paz guris","Wed May 28 05:08:18 +0000 2014","larissadias_a","larissa ","https://pbs.twimg.com/profile_images/471478807086387200/8-0A4VGh_normal.jpeg",""
"669","Kfc chicken + century tuna @KFCPhilippines #KFCcocreations","Wed May 28 05:06:38 +0000 2014","callmeMAEbi","7.16.14 ❤","https://pbs.twimg.com/profile_images/469490081548349442/2Zj1XbBU_normal.jpeg",""
"668","RT @aramtolegian: I said before the game I liked San Marino's chances against Oaks Christian. I stand by it. Baseball gods unkind to Titans…","Wed May 28 05:01:52 +0000 2014","WillDerrickk","Will Derrick","https://pbs.twimg.com/profile_images/467187581638037505/3sjM689i_normal.jpeg",""
"667","When the riffraff rolls through San Marino. Larry Wilson's (@publiceditor column: http://t.co/0oke3FDRJu","Wed May 28 04:55:45 +0000 2014","SoCalOpinion","SoCalOpinion","https://pbs.twimg.com/profile_images/2648685604/ceb00a0aecf6a55d7a0f47a8d0b9a764_normal.jpeg","http://www.pasadenastarnews.com/general-news/20140527/when-the-riffraff-rolls-through-san-marino-larry-wilson"
"666","RT @PasStarNews: When the riffraff rolls through San Marino: Larry Wilson http://t.co/fyRj5DaQsY","Wed May 28 04:51:26 +0000 2014","allysdad","allysdad","https://pbs.twimg.com/profile_images/1212874947/IMG_7751_normal.jpg","http://www.pasadenastarnews.com/general-news/20140527/when-the-riffraff-rolls-through-san-marino-larry-wilson"
"665","1 o 2 Kg di gelato da soli 7,90€, a scelta tra tantissimi gusti alla Gelateria Gusto di San Marino

Solo su:... http://t.co/r83dal7GjD","Wed May 28 04:49:02 +0000 2014","AtivAtitude","Alexandra Oliveira","https://pbs.twimg.com/profile_images/1359714740/Aleborboletas_normal.jpg","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/t1.0-9/10390142_640575002685288_7269411032939148656_n.jpg"
"664","@erinscafe It took 3 years to get rid of all but the top 32. Take pity on San Marino.","Wed May 28 04:44:28 +0000 2014","contrabassist","Contrabassist","https://pbs.twimg.com/profile_images/366825170/madmen_icon_normal.jpg",""
"663","@id_fm min info san marino nih haha http://t.co/UgXajWPXgH","Wed May 28 04:43:05 +0000 2014","tantonainggolan","Christanto Michael","https://pbs.twimg.com/profile_images/415954982479736832/7_JJw7L2_normal.jpeg","http://forum.viva.co.id/aneh-dan-lucu/705099-negara-ini-hanya-punya-seorang-narapidana.html"
"662","#SS16 Traffico in congestione da Rimini/Innesto Ss72 Di San Marino a Casello Riccione A14 Bologna-Taranto.Velocità rilevata:15km/h","Wed May 28 04:41:19 +0000 2014","StradeANAS","ANAS","https://pbs.twimg.com/profile_images/378800000492957679/f802a074c73dd3d0fea0f372c3002aff_normal.png",""
